GEX,METH,CNV
MIF,cg23097686,FAM174A
DGCR5,cg04456219,ST8SIA4
EEF1G,cg02326386,SACM1L
AQP2,cg01702055,SLCO4C1
UBD,cg11201447,SLC25A46
CD68,cg26063719,STARD4
FXYD4,cg08443563,EFNA5
KNG1,cg17738521,TSLP
TRIM34,cg10025586,PJA2
RSC1A1,cg17735539,FER
TOMM6,cg23261919,FBXL17
PTP4A1,cg24587601,CAMK4
SLC12A1,cg05590451,WDR36
CHKB,cg00768487,PAM
TMEM213,cg25282951,GIN1
BBS1,cg06474225,APC
CALB1,cg06228828,SRP19
SPDYE3,cg02389317,NUDT12
C9orf129,cg03592218,EPB41L4A
ATP6V0A4,cg06260815,REEP5
RHCG,cg07347128,MAN2A1
FGF11,cg03498081,RASGEF1A
SCNN1G,cg25247520,CSGALNACT2
EIF4EBP3,cg07677157,FXYD4
ABCB6,cg26680608,GLYCTK
KCNJ1,cg16206504,SPCS1
SLC4A1,cg04188920,TUSC2
CDCA2,cg14302214,LZTFL1
CCDC103,cg22793129,HYAL1
C2orf74,cg14255824,AMIGO3
ARHGEF10,cg08305942,CAMKV
RBM34,cg01952226,C3orf18
ANKHD1,cg13309012,ZMYND10
HDAC10,cg04571941,GNAI2
CA9,cg18263166,SLC38A3
CLCNKB,cg02399019,RRP9
SIRPB1,cg21708130,MUSTN1
C11orf52,cg08131309,WDR82
HOXA4,cg17541002,PPM1M
UQCRFS1,cg19163395,TWF2
APOBEC3D,cg13052638,IMPDH2
ACAD11,cg18670236,RBM15B
HYI,cg14303122,CDCP1
IFNAR2,cg10777887,RAD54L2
GOT2,cg05343811,LARS2
CLDN16,cg13531667,WDR6
CCT6A,cg04855216,RASSF1
XRCC6,cg23230564,VIPR1
LRRC70,cg21078654,SLC26A6
ENSA,cg18784409,ARIH2
SLC12A3,cg25135018,NCKIPSD
GSPT1,cg23264429,ZNF502
NDUFS2,cg13058457,CDC25A
AMT,cg00664697,MAP4
SSU72,cg05376227,SS18L2
RAB11A,cg18234988,ABHD5
CFB,cg22261694,CCR9
NME2,cg08897188,ZNF35
ZNF709,cg14731462,COL7A1
CYB5D1,cg03190891,TEX264
RPL21,cg02525705,CISH
SPSB3,cg06013113,DNAH1
EIF4A1,cg14106234,ALAS1
HERC3,cg12925682,MST1R
SLC25A3,cg01890836,LAMB2
C19orf33,cg16783186,MAPKAPK3
IFI30,cg22274117,HYAL3
SUCLG1,cg13005202,ITIH4
PSME3,cg15555527,GLT8D1
ILF3,cg10183885,MON1A
PTP4A2,cg25874782,ZNF662
GGT1,cg22203219,RPL29
SERPINA5,cg03272310,TGM4
ATP6V1G1,cg21876918,CELSR3
DNAJB1,cg19858214,ACY1
VAPB,cg02578087,ZNF660
KCNJ10,cg13439241,CCDC51
SPNS1,cg24170040,C3orf62
PPIA,cg24671734,IQCF1
SPTBN2,cg23201812,PCBP4
SPCS1,cg16709353,CCDC71
TRAPPC5,cg22047295,GMPPB
SREBF2,cg26700919,UQCRC1
ANAPC5,cg13591783,MANF
ERP29,cg24174557,ITIH3
CASC3,cg04786142,PARP3
ACSL3,cg22579075,CACNA2D2
NDUFA4,cg12435551,NDUFAF3
AS3MT,cg06817454,ABHD14A
USP7,cg07851269,GNAT1
IL10RB,cg03853124,ITIH1
EHF,cg12520319,TMEM115
PRELID2,cg14032261,HYAL2
RAN,cg13246235,SEMA3F
SLC3A1,cg20108357,UBA7
RAD23B,cg07333191,HIGD1A
CASR,cg04279411,ZNF197
SFPQ,cg14780070,ZBTB47
PDXK,cg23021584,USP19
LILRB1,cg07156249,SLC25A20
TRPC4AP,cg23698269,PTH1R
CALML4,cg12999932,PRKAR2A
CHCHD2,cg12955084,TMEM158
SPAG4,cg14698665,HHATL
PCCB,cg17983632,TREX1
CLCNKA,cg03851835,ZNF501
SAR1A,cg25164589,GNL3
CAPZB,cg18760534,PBRM1
VAPA,cg03063658,STAB1
CCT2,cg13784312,ABHD14B
CSE1L,cg12592365,BAP1
AK3,cg22137572,RBM5
PSMD1,cg12848457,DOCK3
INO80B,cg19256731,NISCH
SUMO2,cg21994818,TMEM42
UBE2L3,cg14785527,LRRC2
HNRNPUL1,cg05501617,MYL3
MKRN1,cg01649611,DUSP7
RAD50,cg23821329,FYCO1
GABARAP,cg11183156,CAMP
ZDHHC3,cg05991442,TRAIP
CNP,cg13921921,IP6K2
GIMAP5,cg03214420,HEMK1
UBL5,cg11264947,CCR3
ANKAR,cg07165066,ZNF445
MATR3,cg06021088,LIMD1
DAG1,cg01944226,GRM2
DLEU1,cg12253931,CCR5
MUC15,cg19640821,UCN2
SF3A3,cg25343618,KIF15
SEC16B,cg19979108,ZDHHC3
RPL17,cg25755851,PLXNB1
RALBP1,cg22941573,KIAA1143
DBI,cg23271234,TNNC1
PSMA7,cg11122899,SEC22C
ARL2BP,cg00717080,SEMA3G
NLRC4,cg10794973,CCR2
TMPRSS2,cg21549434,NME6
ILF2,cg23892310,ALS2CL
RAC1,cg23189410,ATRIP
RAB5B,cg10191240,CXCR6
CCT3,cg07205203,CYP8B1
UBE2Z,cg03850986,DALRD3
EIF3H,cg20873416,PFKFB4
KDM1A,cg09029902,IFRD2
SERP1,cg00440032,XCR1
TOP2B,cg23828876,CCDC13
FH,cg12944192,P4HTM
COX5A,cg01961086,NT5DC2
TNFAIP6,cg15108958,SHISA5
PSMD2,cg26182406,FBXW12
SEC16A,cg23662097,CCR1
PROM2,cg05367028,TMEM89
GPR65,cg19405484,NKTR
MTOR,cg00206063,SEMA3B
RALGAPB,cg24843609,PHF7
